username,komentar,waktu,varian
U***i,"barang bagus, cocok banget di pakai pas musim hujan gni",6 hari lalu,Varian: Beige
Hilman,"so so aja sesuai harga.kalo lantai basah,jangan harap bisa buat keringn lantai",1 minggu lalu,Varian: Beige
karolina,"Keren, pemasangan sangat mudah dan sesuai pesenan. Penjual juga gercep. Terima kasih 👍👍👍",1 minggu lalu,Varian: Beige
puri,barang bagus,2 minggu lalu,Varian: Beige
M***s,"GM Bear Alat Pel Lantai Praktis P0003 ini beneran bikin ngepel jadi lebih gampang! Desainnya simpel tapi efektif, bisa buat ngejangkau pojok-pojok yang susah banget dijan... ",2 minggu lalu,Varian: Beige
Badarudin,Terimakasih atas pelayanannya,3 minggu lalu,Varian: Beige
H***d,"bagus, sesuai gambar",3 minggu lalu,Varian: Hijau
A***n,Bagus...,1 bulan lalu,Varian: Beige
Prabowo,"barang sesuai gambar, kualitas cukup baik",1 bulan lalu,Varian: Beige
K***a,paket udh smpe sesuai pesanan,1 bulan lalu,Varian: Beige
Tempat,Bagus dan berfungsi normal. Semoga awet. Pengiriman cepat sesuai jadwal.,1 bulan lalu,Varian: Beige
A***i,lumayan tapi kecil,1 bulan lalu,Varian: Beige
D***o,fhchjkksksksnsssnsnsndjjdjjnsnsnsnshsshshsjsjjssjsjsjsjsjjsjssjsjshdhdjdjd,1 bulan lalu,Varian: Beige
Mimi,"barang sesuai foto , cm sayang kain pel nya cm diksh 1",1 bulan lalu,Varian: Beige
Maya,"Bagus sih, cuman ukurannya menurut aku lumayan kecil",1 bulan lalu,Varian: Hijau
Johansah,"barang sampai kemarin, hari minggu. proses lumayan cepat mulai dari order sampai pengiriman.",1 bulan lalu,Varian: Beige
Jeremy,kualitas agak ringki belum di coba mudah mudahan aman emang sih murah mungkin cuci gudang barang barang lama gpp dah,1 bulan lalu,Varian: Beige
D***n,Barang dibungkus dengan rapih dan sesuai pesanan.,1 bulan lalu,Varian: Beige
Sendri,Bagus 👍🏼👍🏼,1 bulan lalu,Varian: Beige
S***i,"bagus sekali, peraktis banget dan super murah",2 bulan lalu,Varian: Beige
Ina,"barang sesuai psanan, pengiriman cepat, packing lumayab",2 bulan lalu,Varian: Beige
Rizki,mantap,2 bulan lalu,Varian: Hijau
Hayyas,penjualnya respon cepat barang baik mantap pokoknya,2 bulan lalu,Varian: Beige
Noviaris,ternyata 1 box aja ya. aku kira tongkat pelny bakal panjang makanya kirimnya lama.. ternyata tongkat pelny bisa di pisah pisah ya.. dapat harga 11rb. terima kasih toko... ,2 bulan lalu,Varian: Beige
j***a,"bagus pel nya cuman , ada yg diperhatikan harusnya sambungan pipanya di halusin biar ga melukai tangan saat menyambungkan",2 bulan lalu,Varian: Hijau
s***i,bagus,2 bulan lalu,Varian: Hijau
Rika,"Puas bgt, ga ngecewain",2 bulan lalu,Varian: Beige
R***a,Gak berharap lebih karena seumur² belanja online baru pertama kali dapet diskon 50rb dari harga aseli prodak. Wkwk iseng² langsung bayar nunggu konfirmasi dan barang samp... ,2 bulan lalu,Varian: Beige
Yoppie,"sesuai, walaupun tipis sehingga kalau ngepel butuh tenaga tapi bagus",3 bulan lalu,Varian: Beige
antok,"sesuai harga, dikira lebih besar ternyata kecil alamnya, tapi hasilnya bagus sdh di coba.",3 bulan lalu,Varian: Beige
Ainurrohimah,gagangnya kokoh. semoga awet ukurannya pas bahannya juga bagus,3 bulan lalu,Varian: Beige
ARDI,"bagus, no doubt, pokoknya keren ... ... .... ... ... ... ....... ... ... ... ....... ... ... ... ....... ... ... ... ....... ... ... ... ....... ... ... ... ....... ... .... ",3 bulan lalu,Varian: Beige
Relic,Produk bagus sudah langganan sjk dulu,3 bulan lalu,Varian: Beige
Richard,"pel sudah sampai, pengiriman cepat, semoga awet...thanks",4 bulan lalu,Varian: Beige
azliq,setelah d coba ternyata bagus banget.. Aq syuka.. praktis lantai langsung keset bersih.. Kinclong... Sy mau beli lagi...,4 bulan lalu,Varian: Beige
I***e,"sesuai dengan harga, pengirim sedikit lama terkendala di kurir",4 bulan lalu,Varian: Beige
F***i,"Barangnya udah sampai, bahannya lumayan oke, barangnya lengkap tidak kurang...terima kasih banyak👌👍",5 bulan lalu,Varian: Beige
Achmad,"seller responsif, harga ekonomis, kualitas ok dan sesuai harapan, keselurahan mantab.... recommended",5 bulan lalu,Varian: Beige
R***d,Barang sesuai spek walau lama tibanya,5 bulan lalu,Varian: Beige
Muhammad,sangat Worth it dgn harga segini,5 bulan lalu,Varian: Hijau
Tias,Bagus👍,5 bulan lalu,Varian: Hijau
ismi,Barang di Terima dalam keadaan Bagus ... dan juga Cepat Respon pelayanannya .. Trimakasih semoga Awet di gunakan,5 bulan lalu,Varian: Beige
H***a,bahannya agak ringkih,5 bulan lalu,Varian: Beige
R***a,"respon penjual baik, pengiriman tepat waktu,cuma packing nya rawan banget... Alhamdulillah barangnya ga ada kendala barang sesuai harga dan deskripsi",5 bulan lalu,Varian: Beige
I***m,Barang bagus berfungsi,5 bulan lalu,Varian: Beige
Iqbal,barang sesuai pesanan,6 bulan lalu,Varian: Beige
D***e,"Bagus, terima kasih",6 bulan lalu,Varian: Beige
H***y,Mantaff ...,6 bulan lalu,Varian: Hijau
a***n,pengirimannya cepat dan produknya mulus..mantap dan semoga awet,6 bulan lalu,Varian: Beige
Adi,Bahan nya empuk banget. Nyaman.,6 bulan lalu,Varian: Beige
Joan,"barangnya sudah sampai, langsung di coba tadi , kalau kata Indra Kento, wow keren banget !!!!",Lebih dari 1 tahun lalu,Varian: Hijau
V***r,"Barang sesuai pesanan, packing rapi/aman dan pengiriman nya juga cepat. Barang dapat berfungsi dengan baik, Seller fast respon.",Lebih dari 1 tahun lalu,Varian: Hijau
Hendri,bersih bersih rumah. awet. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
Nindi,proses kemas lama sekali,Lebih dari 1 tahun lalu,Varian: Beige
Dewa,"Barang sampai, packing kurang rapi dan aman",Lebih dari 1 tahun lalu,Varian: Hijau
Petrus,ada harga ada mutu,Lebih dari 1 tahun lalu,Varian: Hijau
K***k,"Sesuai pesanan, barang tidak rusak / pecah. Aman. Pertama x nyoba, smoga cocok",Lebih dari 1 tahun lalu,Varian: Beige
z***n,warnanya cantik.. brangnya gak rusak aman pengirmannya juga cepat,Lebih dari 1 tahun lalu,Varian: Hijau
C***S,awet. bersih rapi. bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
Irpan,"Not bad lah.. cuma ekspektasi nya tadi embernya besar, tapi ternyata kecil yah",Lebih dari 1 tahun lalu,Varian: Hijau
M***y,"alhamdulillah dah sampai selamat, pengiriman cepat, kemarin pesen sekarang dah nyampe, keren",Lebih dari 1 tahun lalu,Varian: Hijau
R***y,Barang sangat bagus,Lebih dari 1 tahun lalu,Varian: Hijau
Wahyu,ternyata imut kirain besar,Lebih dari 1 tahun lalu,Varian: Hijau
U***o,"pengiriman cepat, packing rapih, seller sangat ramah bersih rapi",Lebih dari 1 tahun lalu,Varian: Hijau
I***n,bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
Susy,Sempet ada drama salah tulis alamat yang jadinya nyampe ke pesantren a aku jadi belum dipake deh.. Soalnya respon toko nya cepet bangettt... 😅,Lebih dari 1 tahun lalu,Varian: Hijau
Agung,awet. bersih bersih rumah. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
andrian,mantaap barang Ok bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
S***o,sesuai deskripsi. harga ok Packaging aman dan bagus. Barang sesuai deskripsi.,Lebih dari 1 tahun lalu,Varian: Hijau
Juliana,"lem perekatnya kurang bagus, shg sering kain pelnya mudah lepas. embernya jg kecil, agak diluar ekpektasi sih",Lebih dari 1 tahun lalu,Varian: Hijau
Dewi,Bagus banget,Lebih dari 1 tahun lalu,Varian: Hijau
E***i,barangnya dah dateng... mini ya ternyata... moga awet dan bisa berguna maximal. makasihh awet. bersih bersih rumah. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
Lala,haduh ***** beli buat kado kardus packingnya jelek banget kaya barang kapan tau. ga mungkin salah kurir soalnya kardusnya jelek banget ga dikasih buble wrap tau gini beli... ,Lebih dari 1 tahun lalu,Varian: Beige
